Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
HIPASS J0607-34,-2.112891400343856,0.47,34896.930287370196,0.000856319962056736,9.64,0.0
KKSG9,-2.3228914003438565,0.47,34896.930287370196,0.0007957747154594767,10.0,0.0
ESO059-001,-2.6028914003438564,0.47,34896.930287370196,0.003712172541083257,4.63,0.0
CGCG 262-028,-1.8428914003438561,0.47,34896.930287370196,0.0008285867507907919,9.8,0.0
HolmII,-1.6028914003438564,0.47,34896.930287370196,0.006608930523959809,3.47,0.0
ESO006-001,-3.0528914003438565,0.64,34896.930287370196,0.0017727215759845768,6.7,0.0
KUG 0821+321,-3.5028914003438563,0.64,34896.930287370196,0.0011635341028958808,8.27,0.0
CGMW2-3473,-2.4928914003438565,0.64,34896.930287370196,0.0014532043744694607,7.4,0.0
LV J0831+4104,-4.202891400343856,0.47,34896.930287370196,0.0012750756536764568,7.9,0.0
ESO495-021,-0.6528914003438564,0.47,34896.930287370196,0.0011720218615377815,8.24,0.0
LV J0843+4025,-3.8828914003438566,0.47,34896.930287370196,0.0013079794797164312,7.8,0.0
ESO496-010,-2.8628914003438566,0.47,34896.930287370196,0.0010784594202310086,8.59,0.0
AGC182595,-3.3628914003438566,0.47,34896.930287370196,0.0011092343634655777,8.47,0.0
LV J0859+3923,-3.7528914003438563,0.47,34896.930287370196,0.0009006051555675381,9.4,0.0
KSP-DW11,-3.7828914003438565,0.64,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW16,-4.342891400343857,0.64,34896.930287370196,0.0008252150889737026,9.82,0.0
KSP-DW18,-4.722891400343856,0.47,34896.930287370196,0.0008252150889737026,9.82,0.0
AGC198507,-4.132891400343857,0.47,34896.930287370196,0.001004639206488419,8.9,0.0
UGC04879,-4.861632784142405,0.47,29110.243758384513,0.04239835449195357,1.37,0.0
UGC04998,-3.1928914003438567,0.47,34896.930287370196,0.0011720218615377815,8.24,0.0
NGC2915,-1.7628914003438565,0.47,34896.930287370196,0.004323899106500599,4.29,0.0
LV J0935-1348,-3.4028914003438566,0.47,34896.930287370196,0.0009694685850273094,9.06,0.0
KUG 0937+480,-3.4928914003438565,0.47,34896.930287370196,0.0012815563327119302,7.88,0.0
LV J0944-2254,-3.7128914003438562,0.64,34896.930287370196,0.0021740993523925323,6.05,0.0
IC0559,-2.5728914003438565,0.47,34896.930287370196,0.0009006051555675381,9.4,0.0
LV J0956-0929,-3.2628914003438565,0.47,34896.930287370196,0.0009044497836656004,9.38,0.0
PGC154449,-3.1928914003438567,0.47,34896.930287370196,0.0008457590769045348,9.7,0.0
[CKT2009]d0958+66,-4.722891400343856,0.47,34896.930287370196,0.005453350480109349,3.82,0.0
LV J1000+5022,-3.3428914003438566,0.47,34896.930287370196,0.0012527761972193038,7.97,0.0
NGC3077,-1.5128914003438565,0.47,34896.930287370196,0.005368694319173395,3.85,0.0
UGC05456,-1.7128914003438562,0.47,34896.930287370196,0.0007190492809816146,10.52,0.0
AGC208477,-4.232891400343856,0.47,34896.930287370196,0.001661796909893992,6.92,0.0
UGC05497,-4.152891400343856,0.47,34896.930287370196,0.005719689751665553,3.73,0.0
LV J1017+2922,-3.8528914003438564,0.64,34896.930287370196,0.0029316673437670675,5.21,0.0
UGC05571,-3.0028914003438563,0.47,34896.930287370196,0.0011720218615377815,8.24,0.0
