   Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 NGC2835                  	 091752.9-222119 	5	10.3	10.19	9.34	0.02	0.22	23.9	0.46	1.57
 HIPASS J0916-23b         	 091658.0-231647 	10	10.3	8.47	7.51	-2.16	-2.66	22.4	1.53	1.66
 CGCG 066-109             	 110426.5+114518 	10	10.3	7.82	7.64	-2.24	-2.45	24.8	0.17	2.13
 LV J0926+3343            	 092609.4+334304 	8	10.3	7.29	7.8	-2.39	-2.74	25.9	-0.51	-1.31
 DDO046                   	 074125.8+400645 	10	10.38	8.47	8.58	-1.5	-2	24.1	-1.51	-0.18
 NGC3299                  	 103623.8+124227 	8	10.4	8.96	8.07	-1.63	-1.42	23.7	0.8	1.9
 AGC198508                	 092257.0+245648 	10	10.4	7.23	6.97	-2.4	-2.47	24.2	-0.82	      
 NGC3368                  	 104645.8+114911 	3	10.42	10.83	9.18	-0.54	-0.36	23.1	1.1	2
 UGC05797                 	 103925.2+014307 	9	10.42	8.63	8	-1.92	-2.14	23.3	-0.21	0.58
 NGC3377                  	 104742.4+135908 	-2	10.42	10.38	        	-2.29	-1.79	23.4	1.27	2.1
 DDO043                   	 072817.2+404613 	10	10.47	8.13	8.38	-1.71	-1.9	24.3	-1.54	-0.78
 JKB142                   	 014548.2+162241 	10	10.5	7.01	7.65	-2.81	-2.11	25	0.5	1.35
 UGC05456                 	 100719.7+102144 	9	10.52	8.71	8.26	-1.16	-1.26	23.4	-0.89	      
 AGC731457                	 103155.8+280133 	10	10.52	7.62	7.21	-2.32	-2.68	23.2	-0.64	-0.82
 KDG235                   	 170025.3+701724 	10	10.6	7.64	7.87	-2.48	-2.74	25.9	-1.38	-0.46
 NGC3521                  	 110548.6-000209 	4	10.7	11.09	9.65	0.12	0.5	22.8	2.23	-0.23
 UGC09660                 	 150109.3+444153 	9	10.76	8.68	8.23	-1.48	-1.56	23.3	-1.37	-0.61
 NGC3593                  	 111435.9+124907 	1	10.8	10.43	8.33	-1.55	-0.55	23.8	-0.2	-0.06
 DDO062                   	 092127.5-223002 	8	10.86	8.71	9.15	-1.42	-1.61	24.9	-0.07	0.97
 DDO083                   	 103643.3+313248 	10	10.9	8.03	8.56	-1.59	-1.86	25.4	-1.28	-1.26
 AGC749315                	 102906.4+265438 	9	11	6.73	6.99	-3.04	-3.91	22.9	-1.04	-0.33
