 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 M101dwD                  	 140424.6+531619 	-2	6.95	6.97	        	 <-4.71   	         	25.7	2.46	1.56
 M101-dwA                 	 140650.2+534432 	-2	6.95	6.97	        	 <-4.70   	         	25.6	2.86	1.56
 M101Dw7                  	 140721.0+550351 	-2	6.95	6.14	        	 <-4.68   	         	25.9	2.67	1.56
 M101-df2                 	 140837.5+541931 	-2	6.87	6.74	        	          	         	26	2.55	1.56
 M101dwB                  	 140843.1+550957 	-2	6.95	6.62	        	 <-4.70   	         	26.1	2.41	1.56
 M101Dw11                 	 141004.8+541529 	-2	6.95	6.26	        	 <-4.69   	         	25.3	2.57	1.56
 M101Dw14                 	 141103.2+535650 	-2	6.95	6.22	        	 <-4.70   	         	26.1	2.32	1.56
 Pegasus III              	 222422.6+052512 	-2	0.21	4.31	        	          	         	29.9	1.67	1.75
 Aquarius 2               	 223355.5-091939 	-2	0.11	4.43	        	-7.68	         	30.2	2.53	1.75
 Tucana III               	 235636.0-593600 	-2	0.03	3.65	        	          	         	29.3	4.51	1.75
 And XXIX                 	 235855.6+304520 	-2	0.73	5.96	        	 <-6.54   	-6.54	27.7	1.97	1.75
 Cetus                    	 002611.0-110240 	-1	0.79	7.03	 <5.40  	 <-6.54   	 <-5.51  	26.3	0.25	1.75
 NGC0404                  	 010926.9+354303 	-1	2.98	9.26	7.91	-2.23	-1.5	22.4	-0.76	-2.63
 N2146sat                 	 062413.2+775753 	-1	4.5	7.42	        	-4.37	 <-4.73  	25.7	-0.48	-1.96
 KSP-DW1                  	 085652.2-245805 	-1	9.82	7.8	        	 <-3.81   	         	24.7	0.69	1.56
 KSP-DW17                 	 091136.2-233000 	-1	9.82	8.38	        	 <-3.96   	         	23.5	2.61	1.66
 KK73                     	 091229.3-241428 	-1	9.8	9.08	 <7.03  	-2.85	         	23.5	4.8	1.65
 KK74                     	 091432.4-233326 	-1	9.82	8.52	        	 <-4.06   	         	24.3	2.43	1.66
 KSP-DW28                 	 091743.4-232937 	-1	9.82	7.93	        	-3.89	         	24.8	1.69	1.66
 [CKT2009]d0944+71        	 094434.4+712857 	-1	3.47	7.41	 <5.51  	-5.72	 <-5.13  	25	1.77	1.91
 KDG061                   	 095702.7+683530 	-1	3.66	8.11	        	-4.82	 <-4.67  	24.4	3.98	1.91
 NGC3115                  	 100514.0-074307 	-1	9.68	10.95	8.75	-1.14	 <-4.00  	22.5	2.35	0.23
 KKSG18                   	 100541.6-075853 	-1	9.7	9.27	        	-2.83	         	23	3.86	1.71
 LeoI                     	 100826.9+121829 	-1	0.26	7.38	 <3.58  	          	         	24.7	1.31	1.73
 [CKT2009]d1009+70        	 100934.9+703255 	-1	9	7.9	        	-3.29	 <-4.36  	25.6	0	-0.76
 [CKT2009]d1014+68        	 101455.8+684527 	-1	3.84	6.12	 <5.69  	-4.73	 <-5.08  	25.2	2.21	1.9
 [CKT2009]d1015+69        	 101506.9+690215 	-1	4.07	6.06	        	-5.39	 <-5.19  	26	1.2	1.9
 AGC205445                	 104435.3+135623 	-1	10.4	8.48	        	-3.77	         	23.8	1.98	2.14
 LeG17                    	 104641.5+121935 	-1	10.4	8.23	7.5	          	         	24.3	2.94	2.2
 LeG19                    	 104654.8+124717 	-1	10.4	7.91	        	 <-4.43   	 <-4.30  	24.2	2.12	2.2
 NGC3384                  	 104816.9+123745 	-1	9.42	10.56	        	          	 <-4.37  	23	0.39	1.41
 PGC032348                	 104853.7+140728 	-1	10.4	8.62	 <7.01  	 <-4.25   	         	24.5	3.02	2.14
 AGC740112                	 104955.4+230406 	-1	7.02	7.59	6.69	-5	         	24.3	-1.1	-2.04
 AGC205544                	 105204.8+150150 	-1	10.4	8.18	 <7.41  	 <-4.32   	         	23.9	1.11	1.96
 AGC202456                	 105219.5+110236 	-1	10.4	8.55	 <7.41  	 <-4.31   	         	24.1	1.5	2.1
